[{'source': 'sensor_3', 'data': '12.45 Kwh'}, {'source': 'sensor_1', 'data': '20.17 Kwh'}]
[{'source': 'sensor_3', 'data': '8.99 Kwh'}, {'source': 'sensor_1', 'data': '20.21 Kwh'}, {'source': 'sensor_4', 'data': '12.57 Kwh'}]
[{'source': 'sensor_1', 'data': '21.91 Kwh'}, {'source': 'sensor_4', 'data': '5.47 Kwh'}, {'source': 'sensor_3', 'data': '14.06 Kwh'}]
[{'source': 'sensor_4', 'data': '5.56 Kwh'}, {'source': 'sensor_1', 'data': '12.47 Kwh'}, {'source': 'sensor_3', 'data': '5.96 Kwh'}]
[{'source': 'sensor_4', 'data': '9.18 Kwh'}, {'source': 'sensor_1', 'data': '10.08 Kwh'}, {'source': 'sensor_3', 'data': '16.7 Kwh'}]
[{'source': 'sensor_4', 'data': '10.67 Kwh'}, {'source': 'sensor_3', 'data': '17.77 Kwh'}, {'source': 'sensor_1', 'data': '18.79 Kwh'}]
[{'source': 'sensor_4', 'data': '16.01 Kwh'}, {'source': 'sensor_1', 'data': '2.65 Kwh'}, {'source': 'sensor_3', 'data': '22.41 Kwh'}]
[{'source': 'sensor_4', 'data': '10.83 Kwh'}, {'source': 'sensor_1', 'data': '13.33 Kwh'}, {'source': 'sensor_3', 'data': '14.52 Kwh'}]
[{'source': 'sensor_1', 'data': '13.85 Kwh'}, {'source': 'sensor_3', 'data': '10.53 Kwh'}, {'source': 'sensor_4', 'data': '8.06 Kwh'}]
[{'source': 'sensor_3', 'data': '12.5 Kwh'}, {'source': 'sensor_1', 'data': '9.55 Kwh'}, {'source': 'sensor_4', 'data': '3.99 Kwh'}]
[{'source': 'sensor_4', 'data': '8.51 Kwh'}, {'source': 'sensor_1', 'data': '8.98 Kwh'}, {'source': 'sensor_3', 'data': '8.2 Kwh'}]
[{'source': 'sensor_1', 'data': '2.73 Kwh'}, {'source': 'sensor_3', 'data': '8.36 Kwh'}, {'source': 'sensor_4', 'data': '12.95 Kwh'}]
[{'source': 'sensor_3', 'data': '16.05 Kwh'}, {'source': 'sensor_4', 'data': '19.7 Kwh'}, {'source': 'sensor_1', 'data': '18.32 Kwh'}]
[{'source': 'sensor_3', 'data': '5.79 Kwh'}, {'source': 'sensor_1', 'data': '10.25 Kwh'}, {'source': 'sensor_4', 'data': '16.48 Kwh'}]
[{'source': 'sensor_4', 'data': '11.48 Kwh'}, {'source': 'sensor_3', 'data': '10.23 Kwh'}, {'source': 'sensor_1', 'data': '15.67 Kwh'}]
[{'source': 'sensor_4', 'data': '6.7 Kwh'}, {'source': 'sensor_1', 'data': '3.04 Kwh'}, {'source': 'sensor_3', 'data': '13.92 Kwh'}]
[{'source': 'sensor_4', 'data': '8.28 Kwh'}, {'source': 'sensor_3', 'data': '17.53 Kwh'}, {'source': 'sensor_1', 'data': '21.15 Kwh'}]
[{'source': 'sensor_3', 'data': '14.8 Kwh'}, {'source': 'sensor_1', 'data': '11.91 Kwh'}, {'source': 'sensor_4', 'data': '12.2 Kwh'}]
[{'source': 'sensor_1', 'data': '4.68 Kwh'}, {'source': 'sensor_4', 'data': '13.82 Kwh'}, {'source': 'sensor_3', 'data': '6.91 Kwh'}]
[{'source': 'sensor_4', 'data': '9.14 Kwh'}, {'source': 'sensor_3', 'data': '18.69 Kwh'}, {'source': 'sensor_1', 'data': '11.53 Kwh'}]
[{'source': 'sensor_3', 'data': '11.7 Kwh'}, {'source': 'sensor_4', 'data': '7.06 Kwh'}, {'source': 'sensor_1', 'data': '11.73 Kwh'}]
[{'source': 'sensor_3', 'data': '14.14 Kwh'}, {'source': 'sensor_1', 'data': '20.99 Kwh'}, {'source': 'sensor_4', 'data': '5.86 Kwh'}]
[{'source': 'sensor_3', 'data': '4.7 Kwh'}, {'source': 'sensor_1', 'data': '13.75 Kwh'}, {'source': 'sensor_4', 'data': '3.86 Kwh'}]
[{'source': 'sensor_3', 'data': '20.67 Kwh'}, {'source': 'sensor_1', 'data': '13.17 Kwh'}, {'source': 'sensor_4', 'data': '10.33 Kwh'}]
[{'source': 'sensor_3', 'data': '17.23 Kwh'}, {'source': 'sensor_1', 'data': '17.6 Kwh'}, {'source': 'sensor_4', 'data': '2.55 Kwh'}]
[{'source': 'sensor_4', 'data': '4.25 Kwh'}, {'source': 'sensor_1', 'data': '3.95 Kwh'}, {'source': 'sensor_3', 'data': '19.61 Kwh'}]
[{'source': 'sensor_3', 'data': '17.16 Kwh'}, {'source': 'sensor_1', 'data': '7.95 Kwh'}, {'source': 'sensor_4', 'data': '8.48 Kwh'}]
[{'source': 'sensor_4', 'data': '22.16 Kwh'}, {'source': 'sensor_1', 'data': '4.41 Kwh'}, {'source': 'sensor_3', 'data': '6.58 Kwh'}]
[{'source': 'sensor_4', 'data': '20.33 Kwh'}, {'source': 'sensor_3', 'data': '5.67 Kwh'}, {'source': 'sensor_1', 'data': '4.16 Kwh'}]
[{'source': 'sensor_1', 'data': '11.71 Kwh'}, {'source': 'sensor_3', 'data': '22.02 Kwh'}, {'source': 'sensor_4', 'data': '8.18 Kwh'}]
