[{'source': 'sensor_3', 'data': '7.86 Kwh'}, {'source': 'sensor_1', 'data': '4.37 Kwh'}]
[{'source': 'sensor_4', 'data': '3.06 Kwh'}, {'source': 'sensor_1', 'data': '15.62 Kwh'}, {'source': 'sensor_3', 'data': '5.54 Kwh'}]
[{'source': 'sensor_3', 'data': '7.57 Kwh'}, {'source': 'sensor_4', 'data': '22.43 Kwh'}, {'source': 'sensor_1', 'data': '18.68 Kwh'}]
[{'source': 'sensor_3', 'data': '16.52 Kwh'}, {'source': 'sensor_1', 'data': '10.3 Kwh'}, {'source': 'sensor_4', 'data': '9.51 Kwh'}]
[{'source': 'sensor_3', 'data': '3.26 Kwh'}, {'source': 'sensor_4', 'data': '4.19 Kwh'}, {'source': 'sensor_1', 'data': '11.86 Kwh'}]
[{'source': 'sensor_3', 'data': '11.14 Kwh'}, {'source': 'sensor_1', 'data': '6.67 Kwh'}, {'source': 'sensor_4', 'data': '12.14 Kwh'}]
[{'source': 'sensor_3', 'data': '6.61 Kwh'}, {'source': 'sensor_4', 'data': '15.58 Kwh'}, {'source': 'sensor_1', 'data': '2.62 Kwh'}]
[{'source': 'sensor_1', 'data': '10.58 Kwh'}, {'source': 'sensor_4', 'data': '3.03 Kwh'}, {'source': 'sensor_3', 'data': '13.86 Kwh'}]
[{'source': 'sensor_3', 'data': '20.24 Kwh'}, {'source': 'sensor_1', 'data': '10.27 Kwh'}, {'source': 'sensor_4', 'data': '17.04 Kwh'}]
[{'source': 'sensor_1', 'data': '17.04 Kwh'}, {'source': 'sensor_3', 'data': '10.19 Kwh'}, {'source': 'sensor_4', 'data': '21.28 Kwh'}]
[{'source': 'sensor_1', 'data': '21.56 Kwh'}, {'source': 'sensor_4', 'data': '17.95 Kwh'}, {'source': 'sensor_3', 'data': '19.17 Kwh'}]
[{'source': 'sensor_3', 'data': '20.54 Kwh'}, {'source': 'sensor_1', 'data': '21.55 Kwh'}, {'source': 'sensor_4', 'data': '2.56 Kwh'}]
[{'source': 'sensor_3', 'data': '3.28 Kwh'}, {'source': 'sensor_1', 'data': '11.57 Kwh'}, {'source': 'sensor_4', 'data': '10.87 Kwh'}]
[{'source': 'sensor_3', 'data': '8.8 Kwh'}, {'source': 'sensor_1', 'data': '5.23 Kwh'}, {'source': 'sensor_4', 'data': '4.83 Kwh'}]
[{'source': 'sensor_4', 'data': '13.08 Kwh'}, {'source': 'sensor_3', 'data': '5.63 Kwh'}, {'source': 'sensor_1', 'data': '7.75 Kwh'}]
[{'source': 'sensor_4', 'data': '12.55 Kwh'}, {'source': 'sensor_3', 'data': '9.14 Kwh'}, {'source': 'sensor_1', 'data': '14.2 Kwh'}]
[{'source': 'sensor_3', 'data': '18.56 Kwh'}, {'source': 'sensor_1', 'data': '6.01 Kwh'}, {'source': 'sensor_4', 'data': '17.63 Kwh'}]
[{'source': 'sensor_3', 'data': '21.78 Kwh'}, {'source': 'sensor_1', 'data': '21.79 Kwh'}, {'source': 'sensor_4', 'data': '21.67 Kwh'}]
[{'source': 'sensor_4', 'data': '12.39 Kwh'}, {'source': 'sensor_1', 'data': '21.34 Kwh'}, {'source': 'sensor_3', 'data': '21.82 Kwh'}]
[{'source': 'sensor_3', 'data': '21.75 Kwh'}, {'source': 'sensor_4', 'data': '13.2 Kwh'}, {'source': 'sensor_1', 'data': '20.95 Kwh'}]
[{'source': 'sensor_4', 'data': '19.19 Kwh'}, {'source': 'sensor_3', 'data': '20.76 Kwh'}, {'source': 'sensor_1', 'data': '18.3 Kwh'}]
[{'source': 'sensor_3', 'data': '5.07 Kwh'}, {'source': 'sensor_4', 'data': '8.7 Kwh'}, {'source': 'sensor_1', 'data': '15.05 Kwh'}]
[{'source': 'sensor_4', 'data': '21.05 Kwh'}, {'source': 'sensor_3', 'data': '4.02 Kwh'}, {'source': 'sensor_1', 'data': '21.79 Kwh'}]
[{'source': 'sensor_3', 'data': '8.52 Kwh'}, {'source': 'sensor_1', 'data': '21.16 Kwh'}, {'source': 'sensor_4', 'data': '4.3 Kwh'}]
[{'source': 'sensor_4', 'data': '2.62 Kwh'}, {'source': 'sensor_3', 'data': '19.22 Kwh'}, {'source': 'sensor_1', 'data': '4.56 Kwh'}]
[{'source': 'sensor_1', 'data': '9.35 Kwh'}, {'source': 'sensor_4', 'data': '7.42 Kwh'}, {'source': 'sensor_3', 'data': '15.43 Kwh'}]
[{'source': 'sensor_1', 'data': '15.03 Kwh'}, {'source': 'sensor_3', 'data': '14.19 Kwh'}, {'source': 'sensor_4', 'data': '16.12 Kwh'}]
[{'source': 'sensor_4', 'data': '20.61 Kwh'}, {'source': 'sensor_3', 'data': '3.43 Kwh'}, {'source': 'sensor_1', 'data': '20.56 Kwh'}]
[{'source': 'sensor_4', 'data': '9.99 Kwh'}, {'source': 'sensor_1', 'data': '7.89 Kwh'}, {'source': 'sensor_3', 'data': '7.07 Kwh'}]
[{'source': 'sensor_4', 'data': '21.56 Kwh'}, {'source': 'sensor_3', 'data': '14.95 Kwh'}, {'source': 'sensor_1', 'data': '8.01 Kwh'}]
[{'source': 'sensor_4', 'data': '22.26 Kwh'}, {'source': 'sensor_3', 'data': '10.52 Kwh'}, {'source': 'sensor_1', 'data': '13.65 Kwh'}]
[{'source': 'sensor_3', 'data': '13.01 Kwh'}, {'source': 'sensor_1', 'data': '16.25 Kwh'}, {'source': 'sensor_4', 'data': '18.23 Kwh'}]
[{'source': 'sensor_4', 'data': '18.77 Kwh'}, {'source': 'sensor_1', 'data': '9.28 Kwh'}, {'source': 'sensor_3', 'data': '13.25 Kwh'}]
[{'source': 'sensor_3', 'data': '7.51 Kwh'}, {'source': 'sensor_1', 'data': '11.31 Kwh'}, {'source': 'sensor_4', 'data': '14.54 Kwh'}]
